t_sec,t_nanosec,s1_fx,s1_fy,s1_fz,s1_tx,s1_ty,s1_tz,s1_stamp_sec,s1_stamp_nsec,s2_fx,s2_fy,s2_fz,s2_tx,s2_ty,s2_tz,s2_stamp_sec,s2_stamp_nsec,s3_fx,s3_fy,s3_fz,s3_tx,s3_ty,s3_tz,s3_stamp_sec,s3_stamp_nsec,ee_px,ee_py,ee_pz,ee_stamp_sec,ee_stamp_nsec,ee_mf_px,ee_mf_py,ee_mf_pz,ee_mf_stamp_sec,ee_mf_stamp_nsec,ee_th_px,ee_th_py,ee_th_pz,ee_th_stamp_sec,ee_th_stamp_nsec,deform_circ,deform_circ_stamp_sec,deform_circ_stamp_nsec,deform_ecc,deform_ecc_stamp_sec,deform_ecc_stamp_nsec,emg_ch1,emg_ch2,emg_ch3,emg_ch4,emg_ch5,emg_ch6,emg_ch7,emg_ch8,emg_stamp_sec,emg_stamp_nsec
1763329095,916683148,0.059239,0.056053,-0.051548,0.000425,0.001033,-0.000168,1763329095,916683148,0.002355,0.012797,-0.012163,-0.000085,0.000602,-0.000180,1763329095,916683148,0.135924,0.041346,0.088791,0.000594,-0.000211,0.000887,1763329095,916683148,0.076465,0.043165,0.358568,1763329095,916683148,0.076465,0.043165,0.358568,1763329095,916683148,-0.114827,0.066401,0.352150,1763329095,916683148,0.895034,1763329095,916683148,0.211985,1763329095,916683148,35.000000,25.000000,25.000000,18.000000,21.000000,21.000000,23.000000,21.000000,1763329095,916683148
1763329095,921868658,0.057239,0.054053,-0.000548,0.000285,0.001093,-0.000468,1763329095,921868658,-0.009645,-0.011203,0.061837,-0.000185,0.000502,0.000020,1763329095,921868658,0.133924,0.014346,0.104791,0.000824,-0.000091,0.000217,1763329095,921868658,0.076489,0.043179,0.358558,1763329095,921868658,0.076489,0.043179,0.358558,1763329095,921868658,-0.114830,0.066402,0.352143,1763329095,921868658,0.895034,1763329095,921868658,0.211985,1763329095,921868658,32.000000,25.000000,32.000000,18.000000,21.000000,23.000000,29.000000,19.000000,1763329095,921868658
1763329095,925491898,0.073239,0.062053,-0.007548,0.000485,0.001133,-0.000238,1763329095,925491898,0.011355,-0.003203,0.007837,-0.000095,0.000652,0.000010,1763329095,925491898,0.161924,0.010346,0.135791,0.000824,0.000009,0.000057,1763329095,925491898,0.076489,0.043179,0.358558,1763329095,925491898,0.076489,0.043179,0.358558,1763329095,925491898,-0.114830,0.066402,0.352143,1763329095,925491898,0.895034,1763329095,925491898,0.211985,1763329095,925491898,32.000000,25.000000,32.000000,18.000000,21.000000,23.000000,29.000000,19.000000,1763329095,925491898
1763329095,930103312,0.057239,0.042053,-0.036548,0.000365,0.001203,-0.000228,1763329095,930103312,0.001355,-0.013203,0.040837,-0.000065,0.000352,-0.000840,1763329095,930103312,0.127924,0.017346,0.091791,0.000864,-0.000081,0.000627,1763329095,930103312,0.076489,0.043179,0.358558,1763329095,930103312,0.076489,0.043179,0.358558,1763329095,930103312,-0.114830,0.066402,0.352143,1763329095,930103312,0.895034,1763329095,930103312,0.211985,1763329095,930103312,32.000000,25.000000,32.000000,18.000000,21.000000,23.000000,29.000000,19.000000,1763329095,930103312
1763329095,935857505,0.067239,0.054053,-0.027548,0.000265,0.001063,0.000452,1763329095,935857505,-0.011645,-0.010203,0.018837,-0.000135,0.000472,0.000090,1763329095,935857505,0.120924,0.001346,0.115791,0.000814,-0.000051,0.001187,1763329095,935857505,0.076489,0.043179,0.358558,1763329095,935857505,0.076489,0.043179,0.358558,1763329095,935857505,-0.114830,0.066402,0.352143,1763329095,935857505,0.895034,1763329095,935857505,0.211985,1763329095,935857505,32.000000,25.000000,32.000000,18.000000,21.000000,23.000000,29.000000,19.000000,1763329095,935857505
1763329095,941646023,0.066239,0.080053,0.001452,0.000325,0.001043,0.000032,1763329095,941646023,0.017355,0.009797,0.091837,-0.000055,0.000562,-0.000150,1763329095,941646023,0.148924,0.040346,0.133791,0.000604,-0.000001,0.000437,1763329095,941646023,0.076465,0.043165,0.358568,1763329095,941646023,0.076465,0.043165,0.358568,1763329095,941646023,-0.114767,0.066366,0.352145,1763329095,941646023,0.895034,1763329095,941646023,0.211985,1763329095,941646023,32.000000,25.000000,32.000000,18.000000,21.000000,23.000000,29.000000,19.000000,1763329095,941646023
1763329095,945812426,0.077239,0.041053,-0.018548,0.000315,0.001153,-0.000258,1763329095,945812426,-0.007645,-0.000203,0.063837,-0.000135,0.000582,-0.000120,1763329095,945812426,0.152924,0.022346,0.119791,0.000694,0.000019,0.000767,1763329095,945812426,0.076465,0.043165,0.358568,1763329095,945812426,0.076465,0.043165,0.358568,1763329095,945812426,-0.114767,0.066366,0.352145,1763329095,945812426,0.893141,1763329095,945812426,0.214357,1763329095,945812426,31.000000,25.000000,38.000000,20.000000,22.000000,21.000000,27.000000,19.000000,1763329095,945812426
1763329095,951447454,0.052239,0.050053,-0.005548,0.000295,0.001003,-0.000068,1763329095,951447454,-0.006645,-0.003203,0.040837,-0.000025,0.000442,-0.000010,1763329095,951447454,0.149924,0.021346,0.122791,0.000774,0.000059,0.000297,1763329095,951447454,0.076465,0.043165,0.358568,1763329095,951447454,0.076465,0.043165,0.358568,1763329095,951447454,-0.114767,0.066366,0.352145,1763329095,951447454,0.893141,1763329095,951447454,0.214357,1763329095,951447454,31.000000,25.000000,38.000000,20.000000,22.000000,21.000000,27.000000,19.000000,1763329095,951447454
1763329095,955111680,0.072239,0.057053,-0.064548,0.000305,0.001123,-0.000798,1763329095,955111680,0.022355,0.017797,0.021837,-0.000105,0.000532,-0.000150,1763329095,955111680,0.147924,0.035346,0.121791,0.000764,0.000069,0.000577,1763329095,955111680,0.076465,0.043165,0.358568,1763329095,955111680,0.076465,0.043165,0.358568,1763329095,955111680,-0.114767,0.066366,0.352145,1763329095,955111680,0.893141,1763329095,955111680,0.214357,1763329095,955111680,31.000000,25.000000,38.000000,20.000000,22.000000,21.000000,27.000000,19.000000,1763329095,955111680
1763329095,960987552,0.086239,0.033053,-0.029548,0.000375,0.001223,-0.000208,1763329095,960987552,0.008355,0.015797,0.044837,-0.000305,0.000532,-0.000060,1763329095,960987552,0.134924,0.025346,0.104791,0.000804,-0.000071,0.000527,1763329095,960987552,0.076430,0.043145,0.358581,1763329095,960987552,0.076430,0.043145,0.358581,1763329095,960987552,-0.114822,0.066398,0.352159,1763329095,960987552,0.893141,1763329095,960987552,0.214357,1763329095,960987552,31.000000,25.000000,38.000000,20.000000,22.000000,21.000000,27.000000,19.000000,1763329095,960987552
