t_sec,t_nanosec,s1_fx,s1_fy,s1_fz,s1_tx,s1_ty,s1_tz,s1_stamp_sec,s1_stamp_nsec,s2_fx,s2_fy,s2_fz,s2_tx,s2_ty,s2_tz,s2_stamp_sec,s2_stamp_nsec,s3_fx,s3_fy,s3_fz,s3_tx,s3_ty,s3_tz,s3_stamp_sec,s3_stamp_nsec,ee_if_px,ee_if_py,ee_if_pz,ee_if_stamp_sec,ee_if_stamp_nsec,ee_mf_px,ee_mf_py,ee_mf_pz,ee_mf_stamp_sec,ee_mf_stamp_nsec,ee_th_px,ee_th_py,ee_th_pz,ee_th_stamp_sec,ee_th_stamp_nsec,deform_circ,deform_circ_stamp_sec,deform_circ_stamp_nsec,deform_ecc,deform_ecc_stamp_sec,deform_ecc_stamp_nsec,emg_ch1,emg_ch2,emg_ch3,emg_ch4,emg_ch5,emg_ch6,emg_ch7,emg_ch8,emg_stamp_sec,emg_stamp_nsec
1763452513,869005979,0.095179,0.005924,0.024678,-0.000869,0.000344,0.000843,1763452513,869005979,0.092963,0.032575,0.244385,0.000293,0.001433,0.000701,1763452513,869005979,0.426252,0.138575,-0.106528,0.000386,0.011961,0.000880,1763452513,869005979,0.063175,0.035500,0.361935,1763452513,869005979,0.063175,0.035500,0.361935,1763452513,869005979,-0.078400,0.045316,0.357151,1763452513,869005979,0.899062,1763452513,869005979,0.167479,1763452513,869005979,46.000000,203.000000,262.000000,273.000000,150.000000,61.000000,29.000000,48.000000,1763452513,869005979
1763452513,873637061,0.103179,-0.014076,0.045678,-0.000859,0.000504,0.001153,1763452513,873637061,0.082963,0.028575,0.230385,0.000133,0.001283,0.000551,1763452513,873637061,0.442252,0.159575,-0.100528,0.000256,0.011821,0.001230,1763452513,873637061,0.062459,0.035087,0.362146,1763452513,873637061,0.062459,0.035087,0.362146,1763452513,873637061,-0.078259,0.045234,0.357166,1763452513,873637061,0.899062,1763452513,873637061,0.167479,1763452513,873637061,46.000000,203.000000,262.000000,273.000000,150.000000,61.000000,29.000000,48.000000,1763452513,873637061
1763452513,878313519,0.093179,-0.011076,0.036678,-0.000849,0.000444,0.000853,1763452513,878313519,0.104963,0.040575,0.308385,0.000113,0.001353,0.001131,1763452513,878313519,0.442252,0.165575,-0.127528,0.000166,0.011591,0.000800,1763452513,878313519,0.062459,0.035087,0.362146,1763452513,878313519,0.062459,0.035087,0.362146,1763452513,878313519,-0.078259,0.045234,0.357166,1763452513,878313519,0.899062,1763452513,878313519,0.167479,1763452513,878313519,49.000000,220.000000,273.000000,301.000000,141.000000,60.000000,31.000000,49.000000,1763452513,878313519
1763452513,883314107,0.107179,-0.012076,0.023678,-0.000759,0.000634,0.000773,1763452513,883314107,0.093963,0.046575,0.262385,0.000093,0.001313,0.000801,1763452513,883314107,0.443252,0.166575,-0.126528,0.000136,0.011871,0.000960,1763452513,883314107,0.062459,0.035087,0.362146,1763452513,883314107,0.062459,0.035087,0.362146,1763452513,883314107,-0.078259,0.045234,0.357166,1763452513,883314107,0.899062,1763452513,883314107,0.167479,1763452513,883314107,49.000000,220.000000,273.000000,301.000000,141.000000,60.000000,31.000000,49.000000,1763452513,883314107
1763452513,888498336,0.115179,-0.013076,0.006678,-0.001089,0.000674,0.001483,1763452513,888498336,0.096963,0.071575,0.243385,0.000013,0.001633,0.001181,1763452513,888498336,0.441252,0.153575,-0.135528,0.000256,0.012051,0.001080,1763452513,888498336,0.062459,0.035087,0.362146,1763452513,888498336,0.062459,0.035087,0.362146,1763452513,888498336,-0.078259,0.045234,0.357166,1763452513,888498336,0.899062,1763452513,888498336,0.167479,1763452513,888498336,49.000000,220.000000,273.000000,301.000000,141.000000,60.000000,31.000000,49.000000,1763452513,888498336
1763452513,893418064,0.116179,-0.021076,0.013678,-0.000819,0.000734,0.000953,1763452513,893418064,0.117963,0.064575,0.244385,-0.000137,0.001433,0.001551,1763452513,893418064,0.417252,0.117575,-0.120528,0.000336,0.011371,0.000780,1763452513,893418064,0.062459,0.035087,0.362146,1763452513,893418064,0.062459,0.035087,0.362146,1763452513,893418064,-0.078259,0.045234,0.357166,1763452513,893418064,0.899062,1763452513,893418064,0.167479,1763452513,893418064,49.000000,220.000000,273.000000,301.000000,141.000000,60.000000,31.000000,49.000000,1763452513,893418064
1763452513,898492782,0.115179,0.017924,0.008678,-0.001009,0.000714,0.001303,1763452513,898492782,0.047963,0.058575,0.277385,-0.000107,0.000493,0.000751,1763452513,898492782,0.408252,0.112575,-0.132528,0.000286,0.011181,0.000400,1763452513,898492782,0.062459,0.035087,0.362146,1763452513,898492782,0.062459,0.035087,0.362146,1763452513,898492782,-0.078259,0.045234,0.357166,1763452513,898492782,0.896374,1763452513,898492782,0.170328,1763452513,898492782,52.000000,230.000000,296.000000,285.000000,134.000000,53.000000,30.000000,49.000000,1763452513,898492782
1763452513,903929665,0.111179,-0.047076,-0.002322,-0.000869,0.000644,0.001273,1763452513,903929665,0.044963,0.081575,0.280385,-0.000047,0.000533,0.000201,1763452513,903929665,0.435252,0.126575,-0.138528,0.000256,0.011751,0.001360,1763452513,903929665,0.062459,0.035087,0.362146,1763452513,903929665,0.062459,0.035087,0.362146,1763452513,903929665,-0.078259,0.045234,0.357166,1763452513,903929665,0.896374,1763452513,903929665,0.170328,1763452513,903929665,52.000000,230.000000,296.000000,285.000000,134.000000,53.000000,30.000000,49.000000,1763452513,903929665
1763452513,908552819,0.102179,-0.008076,-0.011322,-0.000989,0.000384,0.000993,1763452513,908552819,0.062963,0.044575,0.262385,0.000053,0.000923,0.000601,1763452513,908552819,0.445252,0.164575,-0.152528,0.000086,0.011861,0.000270,1763452513,908552819,0.061956,0.034797,0.362291,1763452513,908552819,0.061956,0.034797,0.362291,1763452513,908552819,-0.078368,0.045297,0.357130,1763452513,908552819,0.896374,1763452513,908552819,0.170328,1763452513,908552819,52.000000,230.000000,296.000000,285.000000,134.000000,53.000000,30.000000,49.000000,1763452513,908552819
1763452513,913105921,0.086179,-0.022076,0.023678,-0.000829,0.000374,0.001203,1763452513,913105921,0.051963,0.086575,0.293385,-0.000007,0.000703,0.000611,1763452513,913105921,0.405252,0.117575,-0.134528,0.000446,0.011751,0.000510,1763452513,913105921,0.061956,0.034797,0.362291,1763452513,913105921,0.061956,0.034797,0.362291,1763452513,913105921,-0.078368,0.045297,0.357130,1763452513,913105921,0.896374,1763452513,913105921,0.170328,1763452513,913105921,52.000000,230.000000,296.000000,285.000000,134.000000,53.000000,30.000000,49.000000,1763452513,913105921
