t_sec,t_nanosec,s1_fx,s1_fy,s1_fz,s1_tx,s1_ty,s1_tz,s1_stamp_sec,s1_stamp_nsec,s2_fx,s2_fy,s2_fz,s2_tx,s2_ty,s2_tz,s2_stamp_sec,s2_stamp_nsec,s3_fx,s3_fy,s3_fz,s3_tx,s3_ty,s3_tz,s3_stamp_sec,s3_stamp_nsec,ee_px,ee_py,ee_pz,ee_stamp_sec,ee_stamp_nsec,ee_mf_px,ee_mf_py,ee_mf_pz,ee_mf_stamp_sec,ee_mf_stamp_nsec,ee_th_px,ee_th_py,ee_th_pz,ee_th_stamp_sec,ee_th_stamp_nsec,deform_circ,deform_circ_stamp_sec,deform_circ_stamp_nsec,deform_ecc,deform_ecc_stamp_sec,deform_ecc_stamp_nsec,emg_ch1,emg_ch2,emg_ch3,emg_ch4,emg_ch5,emg_ch6,emg_ch7,emg_ch8,emg_stamp_sec,emg_stamp_nsec
1763329208,136824804,0.022940,-0.013159,0.020611,0.000308,-0.000079,0.000385,1763329208,136824804,0.068023,0.094252,0.099774,-0.002305,0.002701,0.000911,1763329208,136824804,0.080515,-0.100299,-0.007286,0.001656,0.002067,-0.000687,1763329208,136824804,0.080496,0.045491,0.357554,1763329208,136824804,0.080496,0.045491,0.357554,1763329208,136824804,-0.085767,0.049578,0.354021,1763329208,136824804,0.895439,1763329208,136824804,0.185951,1763329208,136824804,29.000000,109.000000,318.000000,30.000000,23.000000,20.000000,25.000000,20.000000,1763329208,136824804
1763329208,140735710,0.034940,-0.022159,0.035611,0.000288,0.000171,-0.000035,1763329208,140735710,0.073023,0.095252,0.116774,-0.002345,0.002691,0.000961,1763329208,140735710,0.081515,-0.110299,0.023714,0.001626,0.002127,-0.000947,1763329208,140735710,0.080513,0.045500,0.357549,1763329208,140735710,0.080513,0.045500,0.357549,1763329208,140735710,-0.085669,0.049521,0.354027,1763329208,140735710,0.895439,1763329208,140735710,0.185951,1763329208,140735710,34.000000,95.000000,351.000000,31.000000,21.000000,22.000000,27.000000,24.000000,1763329208,140735710
1763329208,145056899,0.010940,-0.017159,0.061611,0.000368,-0.000009,0.000545,1763329208,145056899,0.077023,0.067252,0.109774,-0.002305,0.002791,0.001241,1763329208,145056899,0.066515,-0.094299,-0.020286,0.001706,0.001917,-0.000977,1763329208,145056899,0.080513,0.045500,0.357549,1763329208,145056899,0.080513,0.045500,0.357549,1763329208,145056899,-0.085669,0.049521,0.354027,1763329208,145056899,0.895439,1763329208,145056899,0.185951,1763329208,145056899,34.000000,95.000000,351.000000,31.000000,21.000000,22.000000,27.000000,24.000000,1763329208,145056899
1763329208,150648952,0.008940,-0.006159,0.037611,0.000408,0.000051,-0.000155,1763329208,150648952,0.091023,0.114252,0.097774,-0.002355,0.002591,0.000431,1763329208,150648952,0.065515,-0.096299,0.008714,0.001736,0.001797,-0.001157,1763329208,150648952,0.080513,0.045500,0.357549,1763329208,150648952,0.080513,0.045500,0.357549,1763329208,150648952,-0.085669,0.049521,0.354027,1763329208,150648952,0.895439,1763329208,150648952,0.185951,1763329208,150648952,34.000000,95.000000,351.000000,31.000000,21.000000,22.000000,27.000000,24.000000,1763329208,150648952
1763329208,156948250,0.004940,-0.022159,0.036611,0.000278,-0.000089,-0.000675,1763329208,156948250,0.081023,0.057252,0.129774,-0.002075,0.002571,0.001151,1763329208,156948250,0.058515,-0.078299,-0.035286,0.001636,0.001747,-0.000727,1763329208,156948250,0.080513,0.045500,0.357549,1763329208,156948250,0.080513,0.045500,0.357549,1763329208,156948250,-0.085669,0.049521,0.354027,1763329208,156948250,0.895439,1763329208,156948250,0.185951,1763329208,156948250,34.000000,95.000000,351.000000,31.000000,21.000000,22.000000,27.000000,24.000000,1763329208,156948250
1763329208,161408492,0.010940,-0.028159,0.038611,0.000278,0.000021,0.000095,1763329208,161408492,0.078023,0.084252,0.091774,-0.002245,0.002861,0.000081,1763329208,161408492,0.067515,-0.085299,-0.048286,0.001826,0.002077,-0.001327,1763329208,161408492,0.080393,0.045431,0.357573,1763329208,161408492,0.080393,0.045431,0.357573,1763329208,161408492,-0.085730,0.049557,0.354018,1763329208,161408492,0.895801,1763329208,161408492,0.183118,1763329208,161408492,34.000000,95.000000,351.000000,31.000000,21.000000,22.000000,27.000000,24.000000,1763329208,161408492
1763329208,166943193,0.022940,-0.038159,0.022611,0.000308,0.000061,0.000165,1763329208,166943193,0.093023,0.078252,0.111774,-0.002415,0.002561,0.000321,1763329208,166943193,0.069515,-0.084299,-0.028286,0.001686,0.001907,-0.001757,1763329208,166943193,0.080393,0.045431,0.357573,1763329208,166943193,0.080393,0.045431,0.357573,1763329208,166943193,-0.085730,0.049557,0.354018,1763329208,166943193,0.895801,1763329208,166943193,0.183118,1763329208,166943193,49.000000,106.000000,379.000000,36.000000,22.000000,23.000000,25.000000,25.000000,1763329208,166943193
1763329208,171698424,0.016940,-0.027159,0.024611,0.000378,-0.000009,0.000345,1763329208,171698424,0.080023,0.084252,0.100774,-0.002215,0.002681,0.001241,1763329208,171698424,0.084515,-0.093299,-0.002286,0.001646,0.001937,-0.000757,1763329208,171698424,0.080393,0.045431,0.357573,1763329208,171698424,0.080393,0.045431,0.357573,1763329208,171698424,-0.085730,0.049557,0.354018,1763329208,171698424,0.895801,1763329208,171698424,0.183118,1763329208,171698424,49.000000,106.000000,379.000000,36.000000,22.000000,23.000000,25.000000,25.000000,1763329208,171698424
1763329208,175156007,0.008940,-0.013159,0.020611,0.000378,0.000101,-0.000375,1763329208,175156007,0.058023,0.069252,0.111774,-0.002385,0.002691,0.000441,1763329208,175156007,0.067515,-0.082299,0.002714,0.001576,0.002007,-0.000567,1763329208,175156007,0.080393,0.045431,0.357573,1763329208,175156007,0.080393,0.045431,0.357573,1763329208,175156007,-0.085730,0.049557,0.354018,1763329208,175156007,0.895801,1763329208,175156007,0.183118,1763329208,175156007,49.000000,106.000000,379.000000,36.000000,22.000000,23.000000,25.000000,25.000000,1763329208,175156007
1763329208,180055779,0.005940,-0.010159,0.023611,0.000158,-0.000039,0.000175,1763329208,180055779,0.088023,0.072252,0.124774,-0.002365,0.002891,0.000431,1763329208,180055779,0.081515,-0.096299,-0.039286,0.001666,0.002167,-0.000747,1763329208,180055779,0.080393,0.045431,0.357573,1763329208,180055779,0.080393,0.045431,0.357573,1763329208,180055779,-0.085730,0.049557,0.354018,1763329208,180055779,0.895801,1763329208,180055779,0.183118,1763329208,180055779,49.000000,106.000000,379.000000,36.000000,22.000000,23.000000,25.000000,25.000000,1763329208,180055779
