finger,function,intent,value_norm,value_scaled
th,linear,0.3919597989949749,0.3919597989949749,1.9207997827833123
th,linear,0.3969849246231156,0.3969849246231156,1.9452024340013658
th,linear,0.4020100502512563,0.4020100502512563,1.9696050852194193
th,linear,0.40703517587939697,0.40703517587939697,1.9940077364374729
th,linear,0.4120603015075377,0.4120603015075377,2.0184103876555266
th,linear,0.4170854271356784,0.4170854271356784,2.04281303887358
th,linear,0.4221105527638191,0.4221105527638191,2.0672156900916336
th,linear,0.4271356783919598,0.4271356783919598,2.091618341309687
th,linear,0.4321608040201005,0.4321608040201005,2.1160209925277407
th,linear,0.4371859296482412,0.4371859296482412,2.140423643745794
th,linear,0.44221105527638194,0.44221105527638194,2.1648262949638477
th,linear,0.4472361809045226,0.4472361809045226,2.1892289461819012
th,linear,0.45226130653266333,0.45226130653266333,2.2136315973999547
th,linear,0.457286432160804,0.457286432160804,2.2380342486180083
th,linear,0.4623115577889447,0.4623115577889447,2.2624368998360618
th,linear,0.46733668341708545,0.46733668341708545,2.2868395510541153
th,linear,0.4723618090452261,0.4723618090452261,2.311242202272169
th,linear,0.47738693467336685,0.47738693467336685,2.3356448534902223
th,linear,0.4824120603015075,0.4824120603015075,2.360047504708276
th,linear,0.48743718592964824,0.48743718592964824,2.3844501559263294
th,linear,0.49246231155778897,0.49246231155778897,2.4088528071443833
th,linear,0.49748743718592964,0.49748743718592964,2.4332554583624364
th,linear,0.5025125628140703,0.5025125628140703,2.45765810958049
th,linear,0.507537688442211,0.507537688442211,2.4820607607985434
th,linear,0.5125628140703518,0.5125628140703518,2.5064634120165974
th,linear,0.5175879396984925,0.5175879396984925,2.530866063234651
th,linear,0.5226130653266332,0.5226130653266332,2.5552687144527044
th,linear,0.5276381909547738,0.5276381909547738,2.5796713656707575
th,linear,0.5326633165829145,0.5326633165829145,2.6040740168888115
th,linear,0.5376884422110553,0.5376884422110553,2.628476668106865
th,linear,0.542713567839196,0.542713567839196,2.6528793193249185
th,linear,0.5477386934673367,0.5477386934673367,2.677281970542972
th,linear,0.5527638190954774,0.5527638190954774,2.701684621761026
th,linear,0.5577889447236181,0.5577889447236181,2.726087272979079
th,linear,0.5628140703517588,0.5628140703517588,2.7504899241971326
th,linear,0.5678391959798995,0.5678391959798995,2.774892575415186
th,linear,0.5728643216080402,0.5728643216080402,2.79929522663324
th,linear,0.577889447236181,0.577889447236181,2.8236978778512936
th,linear,0.5829145728643216,0.5829145728643216,2.8481005290693466
th,linear,0.5879396984924623,0.5879396984924623,2.8725031802874
th,linear,0.592964824120603,0.592964824120603,2.896905831505454
th,linear,0.5979899497487438,0.5979899497487438,2.9213084827235076
th,linear,0.6030150753768845,0.6030150753768845,2.945711133941561
th,linear,0.6080402010050251,0.6080402010050251,2.970113785159614
th,linear,0.6130653266331658,0.6130653266331658,2.994516436377668
th,linear,0.6180904522613065,0.6180904522613065,3.0189190875957217
th,linear,0.6231155778894473,0.6231155778894473,3.043321738813775
th,linear,0.628140703517588,0.628140703517588,3.067724390031829
th,linear,0.6331658291457286,0.6331658291457286,3.0921270412498822
th,linear,0.6381909547738693,0.6381909547738693,3.1165296924679358
th,linear,0.6432160804020101,0.6432160804020101,3.1409323436859893
th,linear,0.6482412060301508,0.6482412060301508,3.165334994904043
th,linear,0.6532663316582915,0.6532663316582915,3.1897376461220968
th,linear,0.6582914572864321,0.6582914572864321,3.21414029734015
th,linear,0.6633165829145728,0.6633165829145728,3.2385429485582033
th,linear,0.6683417085427136,0.6683417085427136,3.262945599776257
th,linear,0.6733668341708543,0.6733668341708543,3.287348250994311
th,linear,0.678391959798995,0.678391959798995,3.3117509022123643
th,linear,0.6834170854271356,0.6834170854271356,3.3361535534304174
th,linear,0.6884422110552764,0.6884422110552764,3.360556204648471
th,linear,0.6934673366834171,0.6934673366834171,3.384958855866525
th,linear,0.6984924623115578,0.6984924623115578,3.4093615070845784
th,linear,0.7035175879396985,0.7035175879396985,3.433764158302632
th,linear,0.7085427135678392,0.7085427135678392,3.458166809520685
th,linear,0.7135678391959799,0.7135678391959799,3.482569460738739
th,linear,0.7185929648241206,0.7185929648241206,3.5069721119567925
th,linear,0.7236180904522613,0.7236180904522613,3.531374763174846
th,linear,0.7286432160804021,0.7286432160804021,3.5557774143929
th,linear,0.7336683417085427,0.7336683417085427,3.580180065610953
th,linear,0.7386934673366834,0.7386934673366834,3.6045827168290066
th,linear,0.7437185929648241,0.7437185929648241,3.62898536804706
th,linear,0.7487437185929648,0.7487437185929648,3.6533880192651136
th,linear,0.7537688442211056,0.7537688442211056,3.6777906704831675
th,linear,0.7587939698492463,0.7587939698492463,3.702193321701221
th,linear,0.7638190954773869,0.7638190954773869,3.726595972919274
th,linear,0.7688442211055276,0.7688442211055276,3.7509986241373277
th,linear,0.7738693467336684,0.7738693467336684,3.7754012753553816
th,linear,0.7788944723618091,0.7788944723618091,3.799803926573435
th,linear,0.7839195979899498,0.7839195979899498,3.8242065777914886
th,linear,0.7889447236180904,0.7889447236180904,3.8486092290095417
th,linear,0.7939698492462312,0.7939698492462312,3.8730118802275957
th,linear,0.7989949748743719,0.7989949748743719,3.897414531445649
th,linear,0.8040201005025126,0.8040201005025126,3.9218171826637027
th,linear,0.8090452261306533,0.8090452261306533,3.9462198338817567
th,linear,0.8140703517587939,0.8140703517587939,3.9706224850998098
th,linear,0.8190954773869347,0.8190954773869347,3.9950251363178633
th,linear,0.8241206030150754,0.8241206030150754,4.019427787535918
th,linear,0.8291457286432161,0.8291457286432161,4.043830438753971
th,linear,0.8341708542713568,0.8341708542713568,4.068233089972025
th,linear,0.8391959798994975,0.8391959798994975,4.092635741190078
th,linear,0.8442211055276382,0.8442211055276382,4.117038392408132
th,linear,0.8492462311557789,0.8492462311557789,4.141441043626185
th,linear,0.8542713567839196,0.8542713567839196,4.165843694844239
th,linear,0.8592964824120604,0.8592964824120604,4.190246346062293
th,linear,0.864321608040201,0.864321608040201,4.214648997280346
th,linear,0.8693467336683417,0.8693467336683417,4.239051648498399
th,linear,0.8743718592964824,0.8743718592964824,4.263454299716453
th,linear,0.8793969849246231,0.8793969849246231,4.287856950934507
th,linear,0.8844221105527639,0.8844221105527639,4.31225960215256
th,linear,0.8894472361809045,0.8894472361809045,4.336662253370613
th,linear,0.8944723618090452,0.8944723618090452,4.361064904588667
th,linear,0.8994974874371859,0.8994974874371859,4.38546755580672
th,linear,0.9045226130653267,0.9045226130653267,4.409870207024774
th,linear,0.9095477386934674,0.9095477386934674,4.434272858242828
th,linear,0.914572864321608,0.914572864321608,4.458675509460881
th,linear,0.9195979899497487,0.9195979899497487,4.483078160678934
th,linear,0.9246231155778895,0.9246231155778895,4.507480811896988
th,linear,0.9296482412060302,0.9296482412060302,4.531883463115042
th,linear,0.9346733668341709,0.9346733668341709,4.556286114333095
th,linear,0.9396984924623115,0.9396984924623115,4.580688765551148
th,linear,0.9447236180904522,0.9447236180904522,4.605091416769202
th,linear,0.949748743718593,0.949748743718593,4.629494067987256
th,linear,0.9547738693467337,0.9547738693467337,4.653896719205309
th,linear,0.9597989949748744,0.9597989949748744,4.678299370423363
th,linear,0.964824120603015,0.964824120603015,4.702702021641416
th,linear,0.9698492462311558,0.9698492462311558,4.72710467285947
th,linear,0.9748743718592965,0.9748743718592965,4.751507324077523
th,linear,0.9798994974874372,0.9798994974874372,4.775909975295577
th,linear,0.9849246231155779,0.9849246231155779,4.800312626513631
th,linear,0.9899497487437187,0.9899497487437187,4.824715277731684
th,linear,0.9949748743718593,0.9949748743718593,4.849117928949737
th,linear,1.0,1.0,4.873520580167791
th,power,0.0,0.0,0.017392987775136023
th,power,0.005025125628140704,0.0708881205008336,0.3616347457120895
th,power,0.010050251256281407,0.1002509414234171,0.5042243505847316
th,power,0.01507537688442211,0.1227818263605087,0.6136372026087661
th,power,0.020100502512562814,0.1417762410016672,0.7058765036490429
th,power,0.02512562814070352,0.15851065623706034,0.7871409592161915
th,power,0.03015075376884422,0.1736397240519698,0.8606096428793532
th,power,0.035175879396984924,0.18755233775398517,0.92817107016001
th,power,0.04020100502512563,0.2005018828468342,0.9910557133943271
th,power,0.04522613065326633,0.2126643615025008,1.0501182615859963
th,power,0.05025125628140704,0.22416791983111017,1.1059810085962547
th,power,0.05527638190954774,0.23510929779476553,1.1591137360243584
th,power,0.06030150753768844,0.2455636527210174,1.2098814174423962
th,power,0.06532663316582915,0.2555907532870255,1.2585742971726843
th,power,0.07035175879396985,0.2652390597064653,1.3054277041959848
th,power,0.07537688442211056,0.2745485101436731,1.3506355833341215
th,power,0.08040201005025126,0.2835524820033344,1.3943600195229497
th,power,0.08542713567839195,0.29227920842644955,1.4367381164975015
th,power,0.09045226130653267,0.3007528242702513,1.4778870762039227
th,power,0.09547738693467336,0.3089941535606675,1.5179080227691066
th,power,0.10050251256281408,0.3170213124741207,1.556888930657247
th,power,0.10552763819095477,0.3248501780682208,1.5949069008858903
th,power,0.11055276381909548,0.3324947575813722,1.6320299543919443
th,power,0.11557788944723618,0.33996748292628837,1.6683184621297638
th,power,0.12060301507537688,0.3472794481039396,1.7038262979835703
th,power,0.12562814070351758,0.3544406025041679,1.738601777459903
th,power,0.1306532663316583,0.3614599097156672,1.7726884288891454
th,power,0.135678391959799,0.36834547908152615,1.8061256322760266
th,power,0.1407035175879397,0.37510467550797033,1.838949152544884
th,power,0.1457286432160804,0.381744211764999,1.8711915877633323
th,power,0.15075376884422112,0.3882702265745097,1.9028827483481605
th,power,0.15577889447236182,0.3946883510725416,1.9340499798144641
th,power,0.16080402010050251,0.4010037656936684,1.9647184390135182
th,power,0.1658291457286432,0.4072212491123753,1.9949113317983445
th,power,0.1708542713567839,0.4133452205563576,2.0246501185024917
th,power,0.17587939698492464,0.41937977655691105,2.053954692404618
th,power,0.18090452261306533,0.4253287230050016,2.0828435353968566
th,power,0.18592964824120603,0.43119560322573564,2.1113338543180262
th,power,0.19095477386934673,0.43698372265949076,2.1394417008083484
th,power,0.19597989949748745,0.44269617063793026,2.167182077056556
th,power,0.20100502512562815,0.44833583966222035,2.1945690294173734
th,power,0.20603015075376885,0.45390544252494797,2.2216157315577343
th,power,0.21105527638190955,0.4594075275633928,2.248334558528617
th,power,0.21608040201005024,0.4648444922875286,2.274737152944358
th,power,0.22110552763819097,0.47021859558953105,2.300834484273581
th,power,0.22613065326633167,0.47553196871118103,2.326636902098303
th,power,0.23115577889447236,0.48078662512020065,2.352154184074686
th,power,0.23618090452261306,0.48598446942532336,2.377395579225753
th,power,0.24120603015075376,0.4911273054420348,2.4023698471096564
th,power,0.24623115577889448,0.4962168435058351,2.4270852933338096
th,power,0.25125628140703515,0.5012547071170855,2.4515498018231137
th,power,0.2562814070351759,0.5062424389906243,2.4757708641976617
th,power,0.2613065326633166,0.511181506574051,2.4997556065702327
th,power,0.2663316582914573,0.5160733070906276,2.5235108140352605
th,power,0.271356783919598,0.5209191721559094,2.547042953087787
th,power,0.2763819095477387,0.5257203720113371,2.5703581921823213
th,power,0.2814070351758794,0.5304781194129305,2.5934624206168335
th,power,0.2864321608040201,0.5351935732088159,2.616361265905685
th,power,0.2914572864321608,0.5398678416354884,2.6390601097866995
th,power,0.2964824120603015,0.5445019853593754,2.6615641029913806
th,power,0.30150753768844224,0.5490970202873462,2.683878178893107
th,power,0.3065326633165829,0.5536539201672674,2.7060070661357636
th,power,0.31155778894472363,0.5581736189974618,2.727955300334375
th,power,0.3165829145728643,0.5626570132619555,2.749727234929758
th,power,0.32160804020100503,0.5671049640066688,2.7713270512707635
th,power,0.32663316582914576,0.5715182987701669,2.792758767990253
th,power,0.3316582914572864,0.5758978133812338,2.8140262497343413
th,power,0.33668341708542715,0.5802442736343265,2.835133215298623
th,power,0.3417085427135678,0.5845584168528991,2.856083245219867
th,power,0.34673366834170855,0.5888409533496363,2.8768797888671007
th,power,0.35175879396984927,0.5930925677917818,2.8975261710718185
th,power,0.35678391959798994,0.5973139204789973,2.918025598333427
th,power,0.36180904522613067,0.6015056485405026,2.9383811646327094
th,power,0.36683417085427134,0.6056683670576426,2.9585958568831567
th,power,0.37185929648241206,0.6098026701174832,2.9786725600473622
th,power,0.3768844221105528,0.6139091318025436,2.998614061943287
th,power,0.38190954773869346,0.617988307121335,3.0184230577630773
th,power,0.3869346733668342,0.6220407328839762,3.038102154325162
th,power,0.3919597989949749,0.6260669285267949,3.0576538740786248
th,power,0.3969849246231156,0.6300673968895039,3.0770806588772697
th,power,0.4020100502512563,0.6340426249482414,3.096384873539358
th,power,0.40703517587939697,0.6379930845075023,3.1155688092077165
th,power,0.4120603015075377,0.6419192328537429,3.1346346865237225
th,power,0.4170854271356784,0.6458215133732217,3.15358465862762
th,power,0.4221105527638191,0.6497003561364416,3.1724208139966446
th,power,0.4271356783919598,0.6535561784513706,3.1911451791315346
th,power,0.4321608040201005,0.6573893853874585,3.209759721101222
th,power,0.4371859296482412,0.661200370272311,3.2282663499547457
th,power,0.44221105527638194,0.6649895151627444,3.2466669210087526
th,power,0.4472361809045226,0.668757191291819,3.264963237018351
th,power,0.45226130653266333,0.6725037594933305,3.283157050238492
th,power,0.457286432160804,0.6762295706051341,3.3012500643825646
th,power,0.4623115577889447,0.6799349658525767,3.3192439364843915
th,power,0.46733668341708545,0.6836202772132242,3.3371402786693896
th,power,0.4723618090452261,0.6872858277639851,3.3549406598402496
th,power,0.47738693467336685,0.6909319320116613,3.37264660728213
th,power,0.4824120603015075,0.6945588962078793,3.3902596081920047
th,power,0.48743718592964824,0.6981670186492973,3.4077811111365057
th,power,0.49246231155778897,0.7017565899639198,3.425212527442305
th,power,0.49748743718592964,0.7053278933842966,3.4425552325228033
th,power,0.5025125628140703,0.7088812050083358,3.45981056714467
th,power,0.507537688442211,0.7124167940484075,3.476979838637523
th,power,0.5125628140703518,0.7159349230693749,3.49406432204984
th,power,0.5175879396984925,0.7194358482161509,3.5110652612540005
th,power,0.5226130653266332,0.7229198194313344,3.5279838700031547
th,power,0.5276381909547738,0.726387080663453,3.544821332942479
th,power,0.5326633165829145,0.7298378700663007,3.561578806577184
th,power,0.5376884422110553,0.7332724201898332,3.5782574201995256
th,power,0.542713567839196,0.7366909581630523,3.5948582767769173
th,power,0.5477386934673367,0.7400937058692884,3.6113824538031207
th,power,0.5527638190954774,0.7434808801142618,3.627831004114378
th,power,0.5577889447236181,0.7468526927872846,3.6442049566722234
th,power,0.5628140703517588,0.7502093510159407,3.660505317314632
th,power,0.5678391959798995,0.7535510573145655,3.6767330694770566
th,power,0.5728643216080402,0.7568780097268253,3.6928891748848085
th,power,0.577889447236181,0.76019040196268,3.7089745742181695
th,power,0.5829145728643216,0.763488423529998,3.7249901877515286
th,power,0.5879396984924623,0.7667722598610766,3.7409369159677808
th,power,0.592964824120603,0.7700420924343052,3.756815640149141
th,power,0.5979899497487438,0.7732980988911997,3.772627222945475
th,power,0.6030150753768845,0.7765404531490194,3.788372508921185
th,power,0.6080402010050251,0.7797693255091694,3.8040523250816234
th,power,0.6130653266331658,0.7829848827615804,3.8196674813799745
th,power,0.6180904522613065,0.7861872882852448,3.8352187712054717
th,power,0.6231155778894473,0.7893767021450832,3.8507069718537923
th,power,0.628140703517588,0.7925532811853018,3.8661328449804144
th,power,0.6331658291457286,0.7957171791193958,3.881497137037682
th,power,0.6381909547738693,0.7988685466169446,3.896800579696299
th,power,0.6432160804020101,0.8020075313873368,3.9120438902519004
th,power,0.6482412060301508,0.8051342782605587,3.927227772017381
th,power,0.6532663316582915,0.8082489292651686,3.94235291470154
th,power,0.6582914572864321,0.8113516237035778,3.9574199947746624
th,power,0.6633165829145728,0.8144424982247506,3.972429675821553
th,power,0.6683417085427136,0.8175216868944295,3.9873826088825637
th,power,0.6733668341708543,0.8205893212629898,4.0022794327831015
th,power,0.678391959798995,0.8236455304310192,4.017120774452092
th,power,0.6834170854271356,0.8266904411127152,4.031907249229848
th,power,0.6884422110552764,0.829724177697189,4.046639461165762
th,power,0.6934673366834171,0.8327468623077586,4.06131800330625
th,power,0.6984924623115578,0.8357586148593132,4.075943457973313
th,power,0.7035175879396985,0.8387595531138221,4.090516397034101
th,power,0.7085427135678392,0.8417497927340637,4.105037382161822
th,power,0.7135678391959799,0.8447294473356424,4.119506965088347
th,power,0.7185929648241206,0.8476986285373598,4.133925687848821
th,power,0.7236180904522613,0.8506574460100031,4.148294083018578
th,power,0.7286432160804021,0.8536060075236128,4.162612673942685
th,power,0.7336683417085427,0.8565444189932842,4.176881974958358
th,power,0.7386934673366834,0.8594727845235609,4.191102491610547
th,power,0.7437185929648241,0.8623912064514713,4.205274720860917
th,power,0.7487437185929648,0.8652997853882577,4.219399151290498
th,power,0.7537688442211056,0.8681986202598491,4.233476263296222
th,power,0.7587939698492463,0.8710878083461198,4.247506529281574
th,power,0.7638190954773869,0.8739674453189815,4.261490413841561
th,power,0.7688442211055276,0.8768376252793487,4.2754283739422325
th,power,0.7738693467336684,0.8796984407930187,4.289320859094911
th,power,0.7788944723618091,0.8825499829255049,4.303168311525347
th,power,0.7839195979899498,0.8853923412758605,4.316971166337977
th,power,0.7889447236180904,0.8882256040095278,4.330729851675436
th,power,0.7939698492462312,0.891049857890248,4.344444788873524
th,power,0.7989949748743719,0.8938651883110629,4.358116392611745
th,power,0.8040201005025126,0.8966716793244407,4.371745071059611
th,power,0.8090452261306533,0.8994694136715563,4.385331226018824
th,power,0.8140703517587939,0.9022584728107539,4.3988752530614965
th,power,0.8190954773869347,0.9050389369452204,4.412377541664537
th,power,0.8241206030150754,0.9078108850498959,4.425838475340333
th,power,0.8291457286432161,0.910574394897647,4.439258431763846
th,power,0.8341708542713568,0.9133295430847274,4.452637782896257
th,power,0.8391959798994975,0.9160764050555485,4.465976895105256
th,power,0.8442211055276382,0.9188150551267856,4.479276129282098
th,power,0.8492462311557789,0.9215455665108366,4.49253584095553
th,power,0.8542713567839196,0.9242680113386591,4.505756380402686
th,power,0.8592964824120604,0.9269824606820025,4.518938092757048
th,power,0.864321608040201,0.9296889845750572,4.532081318113581
th,power,0.8693467336683417,0.9323876520355371,4.54518639163111
th,power,0.8743718592964824,0.9350785310852144,4.558253643632039
th,power,0.8793969849246231,0.9377616887699258,4.571283399699507
th,power,0.8844221105527639,0.9404371911790621,4.584275980772026
th,power,0.8894472361809045,0.9431051034645632,4.597231703235732
th,power,0.8944723618090452,0.9457654898594288,4.610150879014264
th,power,0.8994974874371859,0.9484184136957622,4.623033815656399
th,power,0.9045226130653267,0.9510639374223621,4.63588081642147
th,power,0.9095477386934674,0.9537021226218737,4.64869218036266
th,power,0.914572864321608,0.956333030027515,4.6614682024082255
th,power,0.9195979899497487,0.9589567195393902,4.674209173440714
th,power,0.9246231155778895,0.9615732502404013,4.686915380374236
th,power,0.9296482412060302,0.9641826804117725,4.6995871062298535
th,power,0.9346733668341709,0.9667850675481965,4.71222463020913
th,power,0.9396984924623115,0.9693804683726156,4.724828227765911
th,power,0.9447236180904522,0.9719689388506467,4.737398170676371
th,power,0.949748743718593,0.9745505342046624,4.7499347271074
th,power,0.9547738693467337,0.9771253089275366,4.7624381616833436
th,power,0.9597989949748744,0.9796933167960648,4.774908735551184
th,power,0.964824120603015,0.9822546108840696,4.787346706444177
th,power,0.9698492462311558,0.9848092435751991,4.799752328743999
th,power,0.9748743718592965,0.9873572665754258,4.812125853541452
th,power,0.9798994974874372,0.9898987309252585,4.824467528695756
th,power,0.9849246231155779,0.9924336870116702,4.836777598892484
th,power,0.9899497487437187,0.994962184579755,4.8490563057001586
th,power,0.9949748743718593,0.9974842727441167,4.861303887625562
th,power,1.0,1.0,4.873520580167791
th,exp,0.0,0.0,0.017392987775136023
th,exp,0.005025125628140704,0.01866777881507531,0.10804610356770629
th,exp,0.010050251256281407,0.03698707166426207,0.19700692704576356
th,exp,0.01507537688442211,0.05496438400649162,0.2843070495479255
th,exp,0.020100502512562814,0.07260609985822686,0.3699774726726879
th,exp,0.02512562814070352,0.0899184840605236,0.45404861928756385
th,exp,0.03015075376884422,0.1069076845037702,0.5365503443327031
th,exp,0.035175879396984924,0.1235797343108972,0.6175119454228372
th,exp,0.04020100502512563,0.13994055397983096,0.6969621732513068
th,exp,0.04522613065326633,0.15599595348595174,0.7749292417998674
th,exp,0.05025125628140704,0.1717516343453045,0.8514408383579031
th,exp,0.05527638190954774,0.18721319163929395,0.9265241333546053
th,exp,0.06030150753768844,0.20238611600158263,1.000205790007602
th,exp,0.06532663316582915,0.21727579556789833,1.0725119737914728
th,exp,0.07035175879396985,0.2318875178894425,1.1434683617295032
th,exp,0.07537688442211056,0.246226471810581,1.2131001515119906
th,exp,0.08040201005025126,0.26029774931148,1.28143207044432
th,exp,0.08542713567839195,0.27410634731634664,1.3484883842280113
th,exp,0.09045226130653267,0.2876571694679122,1.4142929055778344
th,exp,0.09547738693467336,0.3009550278687899,1.478869002678067
th,exp,0.10050251256281408,0.31400464479032586,1.542239607480892
th,exp,0.10552763819095477,0.32681065434954903,1.6044272238498796
th,exp,0.11055276381909548,0.339377604154817,1.6654539355514548
th,exp,0.11557788944723618,0.35170995692074003,1.7253414140971737
th,exp,0.12060301507537688,0.3638120920529593,1.784110926439608
th,exp,0.12562814070351758,0.3756883072033401,1.8417833425245642
th,exp,0.1306532663316583,0.3873428197961335,1.8983791427023158
th,exp,0.135678391959799,0.398779768525647,1.9539184250004864
th,exp,0.1407035175879397,0.4100032148259585,2.0084209122611663
th,exp,0.1457286432160804,0.42101714431319304,2.061905959144793
th,exp,0.15075376884422112,0.4318254682008751,2.1143925590032824
th,exp,0.15577889447236182,0.4424320246888601,2.165899350624858
th,exp,0.16080402010050251,0.4528405803263379,2.2164446248529677
th,exp,0.1658291457286432,0.46305483134939074,2.2660463310816397
th,exp,0.1708542713567839,0.47307840499358356,2.3147220836295843
th,exp,0.17587939698492464,0.48291486078205015,2.362489167995307
th,exp,0.18090452261306533,0.4925676917895333,2.4093645469954494
th,exp,0.18592964824120603,0.5020403258828294,2.4553648667885444
th,exp,0.19095477386934673,0.5113361269380756,2.500506462786318
th,exp,0.19597989949748745,0.5204583960353137,2.5448053654546468
th,exp,0.20100502512562815,0.529410372630753,2.5882773060062125
th,exp,0.20603015075376885,0.5381952357071508,2.6309377219868995
th,exp,0.21105527638190955,0.5468161049027177,2.6728017627578997
th,exp,0.21608040201005024,0.555276041618948,2.713884294875481
th,exp,0.22110552763819097,0.5635780501077703,2.7541999073703294
th,exp,0.22613065326633167,0.5717250785384023,2.793762916928329
th,exp,0.23115577889447236,0.5797200200442911,2.832587372974641
th,exp,0.23618090452261306,0.5875657137505086,2.870687062662865
th,exp,0.24120603015075376,0.5952649457819676,2.908075515771067
th,exp,0.24623115577889448,0.6028204502528174,2.9447660095064063
th,exp,0.25125628140703515,0.610234910237369,2.9807715732200784
