t_sec,t_nanosec,s1_fx,s1_fy,s1_fz,s1_tx,s1_ty,s1_tz,s1_stamp_sec,s1_stamp_nsec,s2_fx,s2_fy,s2_fz,s2_tx,s2_ty,s2_tz,s2_stamp_sec,s2_stamp_nsec,s3_fx,s3_fy,s3_fz,s3_tx,s3_ty,s3_tz,s3_stamp_sec,s3_stamp_nsec,ee_if_px,ee_if_py,ee_if_pz,ee_if_stamp_sec,ee_if_stamp_nsec,ee_mf_px,ee_mf_py,ee_mf_pz,ee_mf_stamp_sec,ee_mf_stamp_nsec,ee_th_px,ee_th_py,ee_th_pz,ee_th_stamp_sec,ee_th_stamp_nsec,deform_ecc,deform_ecc_stamp_sec,deform_ecc_stamp_nsec,emg_ch1,emg_ch2,emg_ch3,emg_ch4,emg_ch5,emg_ch6,emg_ch7,emg_ch8,emg_stamp_sec,emg_stamp_nsec
1763745959,151951203,0.004276,0.002409,0.003787,-0.000117,-0.000008,0.000266,1763745959,151951203,0.009598,-0.026432,-0.025807,-0.000100,0.000050,-0.000203,1763745959,151951203,0.010429,-0.011422,0.017023,0.000141,0.000249,0.000149,1763745959,151951203,0.000177,-0.094098,0.358194,1763745959,151951203,0.074564,0.042069,0.359261,1763745959,151951203,-0.094538,0.054655,0.352602,1763745959,151951203,0.124964,1763745959,151951203,20.000000,24.000000,57.000000,27.000000,21.000000,21.000000,20.000000,38.000000,1763745959,151951203
1763745959,156525524,-0.016724,-0.007591,-0.010213,0.000143,-0.000078,0.000026,1763745959,156525524,0.009598,0.009568,0.004193,-0.000120,-0.000040,0.000227,1763745959,156525524,0.006429,0.010578,0.010023,-0.000069,-0.000031,0.000579,1763745959,156525524,0.000177,-0.093951,0.358235,1763745959,156525524,0.074536,0.042052,0.359273,1763745959,156525524,-0.094470,0.054616,0.352615,1763745959,156525524,0.124964,1763745959,156525524,20.000000,24.000000,57.000000,27.000000,21.000000,21.000000,20.000000,38.000000,1763745959,156525524
1763745959,162102115,0.033276,-0.003591,0.005787,0.000033,0.000312,-0.000064,1763745959,162102115,0.021598,0.010568,0.023193,-0.000040,0.000150,0.000437,1763745959,162102115,-0.022571,-0.026422,-0.001977,0.000081,-0.000091,0.000039,1763745959,162102115,0.000177,-0.093951,0.358235,1763745959,162102115,0.074536,0.042052,0.359273,1763745959,162102115,-0.094470,0.054616,0.352615,1763745959,162102115,0.124964,1763745959,162102115,19.000000,24.000000,63.000000,30.000000,20.000000,20.000000,21.000000,40.000000,1763745959,162102115
1763745959,166328163,0.003276,-0.005591,0.005787,-0.000047,-0.000038,0.000506,1763745959,166328163,-0.001402,-0.004432,0.007193,0.000090,-0.000070,-0.000133,1763745959,166328163,-0.002571,-0.021422,-0.024977,0.000161,0.000059,0.000529,1763745959,166328163,0.000177,-0.093951,0.358235,1763745959,166328163,0.074536,0.042052,0.359273,1763745959,166328163,-0.094470,0.054616,0.352615,1763745959,166328163,0.124964,1763745959,166328163,19.000000,24.000000,63.000000,30.000000,20.000000,20.000000,21.000000,40.000000,1763745959,166328163
1763745959,171732445,-0.010724,-0.000591,-0.022213,0.000013,-0.000058,-0.000364,1763745959,171732445,0.013598,-0.002432,-0.013807,0.000080,-0.000030,-0.000533,1763745959,171732445,0.008429,0.024578,0.013023,-0.000089,0.000069,0.000219,1763745959,171732445,0.000177,-0.093951,0.358235,1763745959,171732445,0.074536,0.042052,0.359273,1763745959,171732445,-0.094470,0.054616,0.352615,1763745959,171732445,0.124964,1763745959,171732445,19.000000,24.000000,63.000000,30.000000,20.000000,20.000000,21.000000,40.000000,1763745959,171732445
1763745959,176468492,0.006276,0.007409,0.007787,-0.000077,-0.000098,0.000386,1763745959,176468492,0.006598,-0.005432,0.020193,0.000030,0.000080,0.000067,1763745959,176468492,0.006429,-0.020422,-0.006977,0.000121,-0.000021,0.000099,1763745959,176468492,0.000177,-0.094098,0.358194,1763745959,176468492,0.074564,0.042069,0.359261,1763745959,176468492,-0.094588,0.054684,0.352598,1763745959,176468492,0.124964,1763745959,176468492,19.000000,24.000000,63.000000,30.000000,20.000000,20.000000,21.000000,40.000000,1763745959,176468492
1763745959,181393907,-0.014724,-0.002591,-0.009213,-0.000037,-0.000088,0.000366,1763745959,181393907,-0.023402,-0.017432,0.006193,-0.000100,-0.000090,0.000537,1763745959,181393907,0.000429,0.013578,0.025023,-0.000009,0.000029,0.000039,1763745959,181393907,0.000177,-0.094098,0.358194,1763745959,181393907,0.074564,0.042069,0.359261,1763745959,181393907,-0.094588,0.054684,0.352598,1763745959,181393907,0.123099,1763745959,181393907,19.000000,24.000000,63.000000,30.000000,20.000000,20.000000,21.000000,40.000000,1763745959,181393907
1763745959,186370988,0.000276,-0.012591,-0.001213,0.000083,-0.000038,0.000096,1763745959,186370988,0.001598,0.000568,-0.020807,0.000100,0.000010,-0.000023,1763745959,186370988,-0.008571,0.023578,0.017023,-0.000049,-0.000161,-0.000051,1763745959,186370988,0.000177,-0.094098,0.358194,1763745959,186370988,0.074564,0.042069,0.359261,1763745959,186370988,-0.094588,0.054684,0.352598,1763745959,186370988,0.123099,1763745959,186370988,19.000000,24.000000,63.000000,30.000000,20.000000,20.000000,21.000000,40.000000,1763745959,186370988
1763745959,191997807,0.018276,-0.000591,0.011787,0.000023,0.000062,-0.000024,1763745959,191997807,-0.010402,-0.014432,0.010193,-0.000010,-0.000020,0.000037,1763745959,191997807,0.001429,-0.006422,-0.002977,-0.000139,-0.000051,0.000669,1763745959,191997807,0.000177,-0.094098,0.358194,1763745959,191997807,0.074564,0.042069,0.359261,1763745959,191997807,-0.094588,0.054684,0.352598,1763745959,191997807,0.123099,1763745959,191997807,19.000000,24.000000,63.000000,30.000000,20.000000,20.000000,21.000000,40.000000,1763745959,191997807
1763745959,196736309,0.019276,-0.015591,0.025787,0.000013,0.000172,-0.000094,1763745959,196736309,0.019598,0.004568,0.018193,0.000020,-0.000090,0.000047,1763745959,196736309,0.009429,0.009578,0.005023,0.000111,0.000039,-0.001331,1763745959,196736309,0.000177,-0.094245,0.358153,1763745959,196736309,0.074593,0.042085,0.359248,1763745959,196736309,-0.094505,0.054636,0.352597,1763745959,196736309,0.123099,1763745959,196736309,19.000000,24.000000,63.000000,30.000000,20.000000,20.000000,21.000000,40.000000,1763745959,196736309
