channel,mean,std,coeff_var,median,min,max,q05,q95,skew,kurtosis
emg_ch1,24.00357568533969,3.814909875633299,0.15893089952445477,24.0,19.0,30.0,19.0,30.0,0.23402390465898712,-1.2277689371916112
emg_ch2,87.65326068448833,48.94128414116579,0.5583509815655767,103.0,20.0,145.0,20.0,145.0,-0.12160974914448038,-1.57010098272891
emg_ch3,186.2662353141495,110.27774303378897,0.5920436564748662,193.0,53.0,366.0,53.0,366.0,0.39439335486562,-1.1290960138452104
emg_ch4,65.47525966286395,31.11140091708343,0.4751626962123211,76.0,33.0,106.0,33.0,106.0,0.06384735856349245,-1.7639200163600637
emg_ch5,24.51765707474885,1.348944947304343,0.055019325180081124,25.0,23.0,26.0,23.0,26.0,-0.11068319322414569,-1.7909900802893295
emg_ch6,22.54312957602588,3.730941701452111,0.16550238460477035,20.0,20.0,30.0,20.0,30.0,1.2726531259541225,0.033029949995385
emg_ch7,39.80847948237698,39.31945458971146,0.9877155595990618,23.0,19.0,123.0,19.0,123.0,1.6373004526045716,0.6957774919938027
emg_ch8,23.452341222543843,4.6937853625650305,0.20014144079794183,21.0,20.0,33.0,20.0,33.0,1.4520477676738648,0.3117475538613421
