finger,full_raw,full_mono,subset_raw,subset_mono,raw_delta,mono_delta
th,0.4310797012301191,1.0,0.41197146134420776,0.9812040182317779,-0.019108239885911316,-0.01879598176822206
if,0.421913352828044,0.9624950943847196,0.3968086949399398,0.9624950943847196,-0.025104657888104176,0.0
mf,0.4066158111713959,0.9769401008502595,0.37587083377641806,0.9769401008502595,-0.030744977394977835,0.0
